,product_name,sale_price,regular_price,category
2775,napier gold tone chain detail ... threader earrings,9.6,16.0,earring
2776,simply vera vera wang ... multi-color stone multi-strand necklace,27.6,46.0,necklace
2777,twist triple-hoop earrings,9.0,18.0,earring
2778,geometric stud earring set,10.8,18.0,earring
2779,napier silver tone textured ... hoop clip-on earrings,9.6,16.0,earring
2780,lc lauren conrad birthstone ... shaker pendant necklace,9.8,14.0,necklace
2781,gold tone geometric chain drop ... nickel free earrings,8.4,14.0,earring
2782,multistrand rhinestone chain ... statement necklace,15.0,30.0,necklace
2783,lc lauren conrad cubic ... zirconia arrow necklace,12.6,18.0,necklace
2784,two stone multi colored ombre ... drop earrings,8.99,18.0,earring
2785,lc lauren conrad layered heart ... pendant necklace,12.6,18.0,earring
2786,silver tone simulated crystal ... stretch bracelet,16.8,28.0,bracelet
2787,napier textured drop pendant ... necklace,16.8,28.0,necklace
2788,napier simulated crystal ... geometric drop earrings,10.8,18.0,earring
2789,lc lauren conrad leaf & bead ... multistrand necklace,9.8,14.0,necklace
2790,tri tone double hoop drop ... earrings,7.0,14.0,earring
2791,simply vera vera wang black ... fireball statement necklace,22.8,38.0,necklace
2792,lc lauren conrad open work ... crystal ring,9.8,14.0,ring
2793,lc lauren conrad clear bead & ... rose gold tone flower charm stretch bracelet set,12.6,18.0,earring
2794,layered silver tone disc ... detail multi strand necklace,18.0,30.0,necklace
2795,dana buchman oval drop hoop ... earrings,9.8,14.0,earring
2796,simply vera vera wang blue ... simulated crystal fireball stud earrings,8.4,14.0,earring
2797,loli bijoux breast cancer ... awareness bracelet set,34.5,46.0,bracelet
2798,napier textured c-hoop ... earrings.,9.6,16.0,earring
2799,simply vera vera wang blue ... simulated crystal drop earrings,8.4,14.0,earring
2800,lc lauren conrad rose gold ... tone simulated stone cross ring set,9.8,14.0,ring
2801,napier simulated crystal ... textured bracelet,14.4,24.0,bracelet
2802,lc lauren conrad double row ... flower pave ring,9.8,14.0,ring
2803,1928 polished & faceted bead ... coil bracelet,25.5,34.0,bracelet
2804,lc lauren conrad simulated ... pearl band ring,8.4,12.0,earring
2805,lc lauren conrad pastel arrow ... necklace,9.8,14.0,necklace
2806,simply vera vera wang ... simulated crystal stretch bracelet set,18.0,30.0,bracelet
2807,dana buchman necklace,25.2,36.0,necklace
2808,rose gold fringe nickel-free ... drop post earrings,12.0,20.0,earring
2809,rose gold tone marquise link ... necklace,15.6,26.0,necklace
2810,necklace & stud earring set,12.0,20.0,earring
2811,silver tone bead & charm ... detail necklace and earring set,13.2,22.0,earring
