,product_name,price
576,david yurman 'albion' ring with semiprecious stone and diamonds,4.5
577,tory burch reversible logo leather belt,178.0
578,madewell medium drawstring transport leather tote,168.0
579,tory burch chelsea flap leather shoulder bag,458.0
580,topshop double face plaid scarf,38.0
581,halogen® plaid cashmere wrap scarf,299.0
582,nordstrom camden rfid convertible backpack,99.0
583,tory burch chelsea slouchy leather tote,498.0
584,kendra scott inez pendant necklace,85.0
585,something navy check blanket scarf (nordstrom exclusive),49.0
586,kate spade new york reese park - small courtnee leather tote,358.0
587,tory burch logo stud bangle,128.0
588,kate spade new york one in a million mismatched earrings,38.0
589,bp. faux fur pompom beanie,19.0
590,burberry baby banner vintage check tote,1190.0
591,rebecca minkoff blythe leather crossbody bag,195.0
592,gorjana chloe mini choker,55.0
593,canada goose lightweight quilted down gloves,150.0
594,topshop bianca studded faux leather bowler bag,48.0
595,halogen® cashmere hooded duster,349.0
596,trouvé jade envelope clutch,49.0
